Sensor,Vertical Position,Horizontal Position,X,Y,Z
29,2,2,-6648,-10223,26533
29,3,-2,-3235,14331,26111
29,3,-1,-3642,7321,31464
29,3,1,-3672,-4134,31762
29,3,2,-3267,-10819,28284
29,4,-2,-317,14590,26479
29,4,-1,-460,7505,31714
29,4,1,-485,-4234,32010
29,4,2,-298,-10991,28699
29,5,-2,2574,14304,25962
29,5,-1,2689,7325,31395
29,5,1,2689,-4159,31750
29,5,2,2695,-10855,28105
29,6,-2,5860,13398,24259
29,6,-1,6319,6900,29478
29,6,1,6351,-3849,30105
29,6,2,6108,-10186,26234
29,7,-2,9665,10043,22587
29,7,-1,10272,6084,25070
29,7,1,10352,-3363,25701
29,7,2,10014,-6452,24259
29,8,-2,12913,5359,17533
29,8,-1,13036,4069,17672
29,8,1,13169,-1712,18299
29,8,2,13011,-2648,18318
31,0,-2,10963,-7493,-13066
31,0,-1,12610,-3575,-16598
31,0,1,12900,2661,-17645
31,0,2,11936,6973,-16153
31,1,-2,9012,-10125,-18924
31,1,-1,10174,-5249,-23680
31,1,1,10412,3206,-25022
31,1,2,9593,8761,-22712
31,2,-2,5805,-11692,-22379
31,2,-1,6429,-6346,-27543
31,2,1,6570,3541,-29160
31,2,2,6031,9858,-26391
31,3,-2,2739,-12293,-23783
31,3,-1,2994,-6734,-28984
31,3,1,3028,3724,-30122
31,3,2,2715,10298,-27748
31,4,-2,-19,-12263,-24129
31,4,-1,-7,-6786,-29069
31,4,1,-39,3824,-30158
31,4,2,-195,10399,-27775
31,5,-2,-2730,-11739,-23441
31,5,-1,-2935,-6470,-28256
31,5,1,-3039,3838,-29696
31,5,2,-3045,10244,-26804
31,6,-2,-5664,-10647,-21685
31,6,-1,-6159,-5907,-26112
31,6,1,-6336,3650,-27594
31,6,2,-6127,9629,-24621
31,7,-2,-8876,-7444,-20042
31,7,-1,-9355,-4937,-21826
31,7,1,-9636,3295,-23175
31,7,2,-9258,7198,-21575
31,8,-2,-11298,-3554,-15621
31,8,-1,-11481,-2477,-15579
31,8,1,-11652,2715,-16187
31,8,2,-11558,3669,-16183
33,0,-2,11906,-10147,-13401
33,0,-1,13942,-5888,-17159
33,0,1,14485,848,-18282
33,0,2,13486,5895,-16400
33,1,-2,9825,-13343,-19997
33,1,-1,11435,-7891,-25450
33,1,1,11950,1368,-26995
33,1,2,11149,8023,-24219
33,2,-2,6332,-15344,-23843
33,2,-1,7287,-9246,-30093
33,2,1,7682,1654,-31954
33,2,2,7214,9330,-28784
33,3,-2,3066,-16264,-25420
33,3,-1,3573,-9837,-31899
33,3,1,3843,1727,-32768
33,3,2,3609,9873,-30695
33,4,-2,134,-16478,-25738
33,4,-1,345,-10043,-32087
33,4,1,520,1688,-32768
33,4,2,429,9999,-31159
33,5,-2,-2729,-16135,-25169
33,5,-1,-2828,-9812,-31735
33,5,1,-2791,1607,-32768
33,5,2,-2721,9829,-30587
33,6,-2,-5896,-15092,-23402
33,6,-1,-6450,-9230,-29756
33,6,1,-6555,1435,-31929
33,6,2,-6328,9099,-28730
33,7,-2,-9510,-11838,-21995
33,7,-1,-10350,-8123,-25241
33,7,1,-10719,1200,-27317
33,7,2,-10438,5407,-26122
33,8,-2,-12683,-7081,-17521
33,8,-1,-13069,-5751,-17767
33,8,1,-13586,238,-19160
33,8,2,-13571,1339,-19463
35,0,-2,-12682,8112,14653
35,0,-1,-14503,4737,17718
35,0,1,-15715,-1302,19573
35,0,2,-14951,-6248,18573
35,1,-2,-10474,10796,20707
35,1,-1,-11887,6672,25079
35,1,1,-12731,-1580,27559
35,1,2,-12133,-7948,26097
35,2,-2,-7013,12519,24385
35,2,-1,-7873,8016,29325
35,2,1,-8422,-1732,31762
35,2,2,-8018,-9075,30492
35,3,-2,-3724,13360,26022
35,3,-1,-4214,8618,31169
35,3,1,-4537,-1920,32750
35,3,2,-4294,-9698,31762
35,4,-2,-697,13568,26507
35,4,-1,-914,8812,31452
35,4,1,-1096,-2087,32752
35,4,2,-959,-10028,31982
35,5,-2,2338,13240,26130
35,5,-1,2371,8589,31230
35,5,1,2331,-2133,32751
35,5,2,2354,-10086,31700
35,6,-2,5791,12249,24528
35,6,-1,6181,8025,29437
35,6,1,6360,-2037,31895
35,6,2,6209,-9694,30255
35,7,-2,9713,8788,23344
35,7,-1,10234,6885,25044
35,7,1,10804,-1873,27949
35,7,2,10343,-7950,26453
35,8,-2,12949,4537,18496
35,8,-1,13327,3345,18597
35,8,1,13782,-1568,19712
35,8,2,13738,-3519,19772
36,0,-2,-10124,10576,13199
36,0,-1,-11921,6894,17850
36,0,1,-12523,-152,19961
36,0,2,-11766,-4810,18526
36,1,-2,-7574,13070,17690
36,1,-1,-8653,8683,23547
36,1,1,-9004,-231,26067
36,1,2,-8495,-5941,24213
36,2,-2,-4396,14304,19928
36,2,-1,-4814,9625,26020
36,2,1,-4942,-300,27606
36,2,2,-4678,-6464,26553
36,3,-2,-1600,14558,20579
36,3,-1,-1627,9775,26467
36,3,1,-1598,-331,27863
36,3,2,-1504,-6552,26815
36,4,-2,916,14183,20303
36,4,-1,1163,9528,26014
36,4,1,1287,-431,27505
36,4,2,1265,-6353,26483
36,5,-2,3328,13315,19252
36,5,-1,3836,8923,24638
36,5,1,4043,-406,26719
36,5,2,3920,-5900,25116
36,6,-2,5730,11835,17234
36,6,-1,6565,8002,21979
36,6,1,6885,-554,24112
36,6,2,6642,-5084,22446
36,7,-2,8192,8870,15584
36,7,-1,8859,6711,17585
36,7,1,9347,-243,19395
36,7,2,9208,-2166,19085
36,8,-2,9690,5312,12031
36,8,-1,9843,4583,12130
36,8,1,10323,971,13163
36,8,2,10345,198,13768
38,0,-2,-11011,9333,14867
38,0,-1,-12636,5605,18285
38,0,1,-13180,-546,19640
38,0,2,-12362,-5497,17912
38,1,-2,-8645,11670,20234
38,1,-1,-9782,7234,24700
38,1,1,-10221,-1296,26409
38,1,2,-9627,-7126,24113
38,2,-2,-5428,13165,23266
38,2,-1,-6051,8268,28079
38,2,1,-6347,-1232,30114
38,2,2,-5996,-8084,27479
38,3,-2,-2450,13723,24516
38,3,-1,-2741,8677,29345
38,3,1,-2895,-1590,31124
38,3,2,-2715,-8476,28753
38,4,-2,290,13697,24738
38,4,-1,232,8739,29452
38,4,1,176,-1441,31211
38,4,2,229,-8570,28860
38,5,-2,3093,13156,24089
38,5,-1,3272,8399,28654
38,5,1,3312,-1464,30735
38,5,2,3232,-8417,27924
38,6,-2,6210,11963,22138
38,6,-1,6720,7760,26334
38,6,1,6892,-1424,28346
38,6,2,6605,-7792,25644
38,7,-2,9538,8712,19955
38,7,-1,10020,6637,21577
38,7,1,10438,-1122,23347
38,7,2,9954,-5603,21915
38,8,-2,11697,4914,14836
38,8,-1,11897,3901,14939
38,8,1,12237,-471,15691
38,8,2,12134,-2010,15838
40,0,-2,11372,-9559,-14602
40,0,-1,13220,-4824,-18473
40,0,1,13419,2024,-19190
40,0,2,12501,6308,-17670
40,1,-2,9058,-12274,-20514
40,1,-1,10380,-6349,-25956
