Sensor,Vertical Position,Horizontal Position,X,Y,Z
22,2,2,-1455,7452,19788
22,3,-2,1037,-7823,17705
22,3,-1,1123,-5115,20152
22,3,1,1198,3398,21883
22,3,2,1187,7596,20216
22,4,-2,3624,-7569,17005
22,4,-1,3897,-4960,19394
22,4,1,4123,3384,21051
22,4,2,3993,7381,19428
22,5,-2,6133,-6723,14922
22,5,-1,6624,-4407,17036
22,5,1,7006,3135,18541
22,5,2,6738,6716,17038
22,6,-2,8205,-4609,12220
22,6,-1,8645,-3384,12826
22,6,1,9155,2687,13948
22,6,2,8901,4623,13533
25,0,-2,-6917,-6641,14777
25,0,-1,-7471,-3683,16739
25,0,1,-7508,3618,16849
25,0,2,-7065,6682,15008
25,1,-2,-4635,-7837,17793
25,1,-1,-4980,-4393,20162
25,1,1,-5035,4027,20445
25,1,2,-4752,7958,18062
25,2,-2,-1781,-8651,19595
25,2,-1,-1932,-4781,22240
25,2,1,-1965,4424,22531
25,2,2,-1877,8765,19925
25,3,-2,1071,-8973,20141
25,3,-1,1110,-4961,22901
25,3,1,1104,4642,23174
25,3,2,1012,9065,20512
25,4,-2,4077,-8766,19579
25,4,-1,4317,-4901,22257
25,4,1,4334,4674,22565
25,4,2,4045,8883,19923
25,5,-2,7139,-8019,17409
25,5,-1,7646,-4530,19870
25,5,1,7676,4285,20096
25,5,2,7161,8082,17783
25,6,-2,9785,-5891,14228
25,6,-1,10362,-3697,15175
25,6,1,10431,3483,15338
25,6,2,9829,5934,14393
27,0,-2,-7178,-8636,15057
27,0,-1,-7883,-5210,17574
27,0,1,-7952,2397,17737
27,0,2,-7615,4717,16482
27,1,-2,-5015,-9981,18017
27,1,-1,-5458,-6004,21087
27,1,1,-5510,2888,21420
27,1,2,-5285,5841,19739
27,2,-2,-2303,-10853,19806
27,2,-1,-2489,-6404,23227
27,2,1,-2505,3328,23529
27,2,2,-2418,6550,21685
27,3,-2,427,-11174,20368
27,3,-1,490,-6571,23898
27,3,1,519,3551,24183
27,3,2,479,6834,22283
27,4,-2,3279,-10915,19823
27,4,-1,3597,-6449,23280
27,4,1,3667,3560,23507
27,4,2,3493,6690,21649
27,5,-2,6148,-10017,17804
27,5,-1,6782,-5994,20938
27,5,1,6856,3166,21134
27,5,2,6531,6019,19417
27,6,-2,8619,-7831,14919
27,6,-1,9382,-5114,16380
27,6,1,9501,2278,16572
27,6,2,9133,3917,16054
30,0,-2,-7344,-8548,15819
30,0,-1,-8035,-4679,18401
30,0,1,-7968,3638,18145
30,0,2,-7537,6209,16535
30,1,-2,-5010,-9948,19063
30,1,-1,-5421,-5483,22174
30,1,1,-5385,4208,22068
30,1,2,-5085,7542,19896
30,2,-2,-2139,-10863,20965
30,2,-1,-2296,-5903,24407
30,2,1,-2258,4707,24242
30,2,2,-2136,8384,21835
30,3,-2,688,-11213,21527
30,3,-1,772,-6112,25088
30,3,1,821,4925,24884
30,3,2,783,8678,22404
30,4,-2,3603,-11023,20914
30,4,-1,3937,-6042,24427
30,4,1,3992,4917,24122
30,4,2,3795,8454,21724
30,5,-2,6626,-10164,18792
30,5,-1,7268,-5676,21976
30,5,1,7299,4419,21659
30,5,2,6919,7541,19506
30,6,-2,9306,-7879,15662
30,6,-1,10081,-4875,17099
30,6,1,10091,3378,16803
30,6,2,9683,5171,16085
32,0,-2,7255,7817,-15307
32,0,-1,7999,3955,-18141
32,0,1,7974,-4561,-18179
32,0,2,7504,-7198,-16623
32,1,-2,5025,9229,-18428
32,1,-1,5470,4820,-21782
32,1,1,5435,-5053,-21940
32,1,2,5105,-8436,-19873
